State,Year,Corrections -  General Fund,Corrections -  Federal Funds,Corrections -  Other State Funds,Corrections -  Bond Funds,Corrections -  Total Funds,Total All Spending - General Fund,Total All Spending - Federal Funds,Total All Spending - Other State Funds,Total All Spending - Bond Funds,Total All Spending - Total Funds,General Fund - % Corrections,Federal Funds - % Corrections,Other State Funds - % Corrections,Bond Funds - % Corrections,Total Funds - % Corrections
Kentucky,2018,$640.0M,$19.6M,$58.7M,$0.0M,$718.3M,"$11,221.3M","$12,441.4M","$10,390.0M",$0.0M,"$34,052.7M",5.7%,0.2%,0.6%,,2.1%
Kentucky,2019,$703.0M,$9.6M,$34.7M,$0.0M,$747.3M,"$11,556.3M","$12,667.5M","$10,613.8M",$0.0M,"$34,837.5M",6.1%,0.1%,0.3%,,2.1%
Louisiana,1991,$250.6M,$0.3M,$8.1M,$0.5M,$259.5M,"$4,459.2M","$3,180.4M","$2,334.2M",$198.9M,"$10,172.7M",5.6%,0.0%,0.3%,0.3%,2.6%
Louisiana,1992,$275.8M,$0.5M,$10.5M,$3.0M,$289.8M,"$4,446.5M","$3,643.6M","$3,094.4M",$229.6M,"$11,414.1M",6.2%,0.0%,0.3%,1.3%,2.5%
Louisiana,1993,$292.2M,$0.5M,$15.3M,$1.0M,$309.0M,"$4,240.6M","$4,322.9M","$3,827.0M",$125.0M,"$12,515.5M",6.9%,0.0%,0.4%,0.8%,2.5%
Louisiana,1994,$320.5M,$0.9M,$13.2M,$10.5M,$345.1M,"$4,389.4M","$5,175.1M","$4,738.4M",$200.0M,"$14,502.9M",7.3%,0.0%,0.3%,5.3%,2.4%
Louisiana,1995,$340.0M,$1.0M,$29.9M,$12.7M,$383.6M,"$5,329.9M","$4,733.3M","$5,076.1M",$200.0M,"$15,339.3M",6.4%,0.0%,0.6%,6.4%,2.5%
Louisiana,1996,$376.4M,$4.6M,$23.7M,$0.0M,$404.7M,"$5,089.7M","$4,209.2M","$4,450.0M",$0.0M,"$13,748.9M",7.4%,0.1%,0.5%,,2.9%
Louisiana,1997,$412.5M,$1.0M,$24.2M,$0.0M,$437.7M,"$5,837.9M","$4,260.1M","$4,372.1M",$225.6M,"$14,695.7M",7.1%,0.0%,0.6%,0.0%,3.0%
Louisiana,1998,$431.1M,$2.1M,$25.9M,$0.0M,$459.1M,"$5,770.7M","$4,119.5M","$4,610.1M",$82.0M,"$14,582.3M",7.5%,0.1%,0.6%,0.0%,3.1%
Louisiana,1999,$458.8M,$3.8M,$83.8M,$19.1M,$565.5M,"$5,818.0M","$4,204.2M","$4,857.0M",$362.9M,"$15,242.1M",7.9%,0.1%,1.7%,5.3%,3.7%
Louisiana,2000,$517.0M,$8.0M,$46.0M,$12.0M,$583.0M,"$5,829.0M","$4,287.0M","$4,529.0M",$219.0M,"$14,864.0M",8.9%,0.2%,1.0%,5.5%,3.9%
Louisiana,2001,$552.0M,$3.0M,$44.0M,$2.0M,$601.0M,"$6,280.0M","$4,714.0M","$5,450.0M",$116.0M,"$16,560.0M",8.8%,0.1%,0.8%,1.7%,3.6%
Louisiana,2002,$578.6M,$7.0M,$73.7M,$8.1M,$667.4M,"$6,399.6M","$5,401.4M","$5,582.3M",$30.5M,"$17,413.8M",9.0%,0.1%,1.3%,26.6%,3.8%
Louisiana,2003,$588.4M,$12.4M,$88.9M,$8.8M,$698.4M,"$6,670.0M","$5,936.7M","$5,865.4M",$354.4M,"$18,826.5M",8.8%,0.2%,1.5%,2.5%,3.7%
Louisiana,2004,$617.0M,$12.0M,$47.0M,$7.0M,$683.0M,"$5,127.4M","$6,728.2M","$2,636.8M",$279.0M,"$14,771.4M",12.0%,0.2%,1.8%,2.5%,4.6%
Louisiana,2005,$540.0M,$2.0M,$62.0M,$4.0M,$608.0M,"$7,179.0M","$6,342.0M","$5,250.0M",$342.0M,"$19,113.0M",7.5%,0.0%,1.2%,1.2%,3.2%
Louisiana,2006,$538.0M,$2.0M,$82.0M,$4.0M,$626.0M,"$7,750.0M","$8,166.0M","$6,891.0M",$189.0M,"$22,996.0M",6.9%,0.0%,1.2%,2.1%,2.7%
Louisiana,2007,$654.0M,$16.0M,$58.0M,$2.0M,$730.0M,"$9,327.0M","$11,151.0M","$5,257.0M",$233.0M,"$25,968.0M",7.0%,0.1%,1.1%,0.9%,2.8%
Louisiana,2008,$766.4M,$5.1M,$39.5M,$2.0M,$813.0M,"$10,371.8M","$12,882.6M","$5,342.2M",$291.0M,"$28,887.6M",7.4%,0.0%,0.7%,0.7%,2.8%
Louisiana,2009,$817.0M,$3.0M,$135.0M,$2.0M,$957.0M,"$9,490.0M","$10,996.2M","$6,965.5M",$592.0M,"$28,043.7M",8.6%,0.0%,1.9%,0.3%,3.4%
Louisiana,2010,$760.6M,$1.8M,$88.6M,$5.0M,$856.0M,"$8,816.0M","$11,859.0M","$10,368.0M",$641.0M,"$31,684.0M",8.6%,0.0%,0.9%,0.8%,2.7%
Louisiana,2011,$759.0M,$2.3M,$86.0M,$1.0M,$848.3M,"$7,786.3M","$10,969.0M","$11,854.1M",$591.0M,"$31,200.4M",9.7%,0.0%,0.7%,0.2%,2.7%
Louisiana,2012,$709.4M,$1.6M,$79.8M,$1.4M,$792.3M,"$8,359.0M","$10,616.0M","$7,793.0M",$320.4M,"$27,088.4M",8.5%,0.0%,1.0%,0.4%,2.9%
Louisiana,2013,$707.0M,$2.0M,$96.0M,$3.0M,$808.0M,"$8,347.0M","$9,520.0M","$9,838.0M",$378.0M,"$28,083.0M",8.5%,0.0%,1.0%,0.8%,2.9%
Louisiana,2014,$705.8M,$2.2M,$100.1M,$6.0M,$814.1M,"$8,565.1M","$8,993.4M","$9,220.1M",$493.0M,"$27,271.6M",8.2%,0.0%,1.1%,1.2%,3.0%
Louisiana,2015,$734.8M,$2.5M,$88.6M,$4.9M,$830.8M,"$8,715.0M","$8,762.3M","$9,613.7M",$662.9M,"$27,753.9M",8.4%,0.0%,0.9%,0.7%,3.0%
Louisiana,2016,$729.8M,$1.7M,$74.9M,$0.0M,$806.4M,"$8,697.2M","$9,256.3M","$9,200.5M",$582.5M,"$27,736.4M",8.4%,0.0%,0.8%,0.0%,2.9%
Louisiana,2017,$738.3M,$1.4M,$87.1M,$1.0M,$827.8M,"$9,118.2M","$11,159.0M","$7,840.5M",$304.0M,"$28,421.7M",8.1%,0.0%,1.1%,0.3%,2.9%
Louisiana,2018,$764.8M,$1.3M,$96.6M,$5.0M,$867.7M,"$9,547.7M","$12,084.9M","$9,327.6M",$292.0M,"$31,252.3M",8.0%,0.0%,1.0%,1.7%,2.8%
Louisiana,2019,$815.3M,$3.1M,$112.9M,$3.0M,$934.3M,"$9,898.1M","$14,263.2M","$10,552.9M",$167.0M,"$34,881.2M",8.2%,0.0%,1.1%,1.8%,2.7%
Maine,1991,$60.7M,$1.7M,$0.4M,$5.9M,$68.7M,"$1,551.0M",$727.3M,$409.6M,$80.9M,"$2,768.8M",3.9%,0.2%,0.1%,7.3%,2.5%
Maine,1992,$64.5M,$1.3M,$0.9M,$10.3M,$77.0M,"$1,514.7M","$1,063.0M",$994.6M,$82.6M,"$3,654.9M",4.3%,0.1%,0.1%,12.5%,2.1%
Maine,1993,$58.9M,$0.6M,$0.3M,$0.5M,$60.3M,"$1,606.6M","$1,062.6M",$746.6M,$128.1M,"$3,543.9M",3.7%,0.1%,0.0%,0.4%,1.7%
Maine,1994,$59.9M,$1.1M,$0.7M,$0.3M,$62.0M,"$1,592.8M","$1,004.8M",$922.7M,$54.5M,"$3,574.8M",3.8%,0.1%,0.1%,0.6%,1.7%
Maine,1995,$64.3M,$1.4M,$0.7M,$3.6M,$70.0M,"$1,686.4M","$1,072.3M",$991.9M,$74.5M,"$3,825.1M",3.8%,0.1%,0.1%,4.8%,1.8%
Maine,1996,$64.6M,$1.4M,$0.8M,$4.0M,$70.8M,"$1,682.2M","$1,161.9M","$1,001.6M",$60.4M,"$3,906.1M",3.8%,0.1%,0.1%,6.6%,1.8%
Maine,1997,$65.7M,$1.6M,$1.1M,$1.2M,$69.6M,"$1,768.7M","$1,215.4M",$911.0M,$54.1M,"$3,949.2M",3.7%,0.1%,0.1%,2.2%,1.8%
Maine,1998,$72.8M,$2.4M,$1.0M,$0.3M,$76.5M,"$1,898.4M","$1,324.5M",$877.6M,$68.9M,"$4,169.4M",3.8%,0.2%,0.1%,0.4%,1.8%
Maine,1999,$79.6M,$1.9M,$2.8M,$0.0M,$84.3M,"$2,153.5M","$1,356.1M",$896.8M,$72.0M,"$4,478.4M",3.7%,0.1%,0.3%,0.0%,1.9%
Maine,2000,$84.0M,$11.0M,$1.0M,$0.0M,$96.0M,"$2,317.0M","$1,495.0M",$986.0M,$49.0M,"$4,847.0M",3.6%,0.7%,0.1%,0.0%,2.0%
Maine,2001,$94.8M,$4.6M,$1.5M,$0.0M,$100.9M,"$2,570.8M","$1,539.7M","$1,158.1M",$53.7M,"$5,322.3M",3.7%,0.3%,0.1%,0.0%,1.9%
Maine,2002,$109.0M,$6.0M,$2.0M,$0.0M,$117.0M,"$2,584.0M","$1,686.0M","$1,383.0M",$64.0M,"$5,717.0M",4.2%,0.4%,0.1%,0.0%,2.0%
Maine,2003,$114.0M,$6.0M,$2.0M,$0.0M,$122.0M,"$2,533.0M","$1,996.0M","$1,434.0M",$101.0M,"$6,064.0M",4.5%,0.3%,0.1%,0.0%,2.0%
Maine,2004,$118.0M,$3.0M,$2.0M,$0.0M,$123.0M,"$2,584.0M","$2,346.0M","$1,502.0M",$117.0M,"$6,549.0M",4.6%,0.1%,0.1%,0.0%,1.9%
Maine,2005,$114.0M,$4.0M,$2.0M,$0.0M,$120.0M,"$2,738.0M","$2,256.0M","$1,646.0M",$114.0M,"$6,754.0M",4.2%,0.2%,0.1%,0.0%,1.8%
Maine,2006,$132.0M,$3.0M,$2.0M,$0.0M,$137.0M,"$2,824.0M","$2,361.0M","$1,845.0M",$70.0M,"$7,100.0M",4.7%,0.1%,0.1%,0.0%,1.9%
Maine,2007,$138.0M,$3.0M,$3.0M,$0.0M,$144.0M,"$3,023.0M","$2,190.0M","$1,912.0M",$70.0M,"$7,195.0M",4.6%,0.1%,0.2%,0.0%,2.0%
Maine,2008,$152.0M,$3.0M,$2.0M,$0.0M,$157.0M,"$3,084.0M","$2,182.0M","$2,053.0M",$108.0M,"$7,427.0M",4.9%,0.1%,0.1%,0.0%,2.1%
Maine,2009,$160.0M,$2.0M,$2.0M,$0.0M,$164.0M,"$3,020.0M","$2,778.0M","$2,184.0M",$110.0M,"$8,092.0M",5.3%,0.1%,0.1%,0.0%,2.0%
Maine,2010,$149.0M,$3.0M,$7.0M,$0.0M,$159.0M,"$2,866.0M","$3,151.0M","$2,253.0M",$81.0M,"$8,351.0M",5.2%,0.1%,0.3%,0.0%,1.9%
Maine,2011,$144.0M,$2.0M,$7.0M,$0.0M,$153.0M,"$2,859.0M","$3,000.0M","$2,293.0M",$122.0M,"$8,274.0M",5.0%,0.1%,0.3%,0.0%,1.8%
Maine,2012,$133.0M,$1.2M,$7.0M,$0.0M,$141.2M,"$3,087.0M","$2,649.2M","$2,309.0M",$61.0M,"$8,106.2M",4.3%,0.0%,0.3%,0.0%,1.7%
Maine,2013,$133.0M,$1.8M,$5.0M,$0.0M,$139.8M,"$3,041.3M","$2,562.8M","$2,059.0M",$15.9M,"$7,679.0M",4.4%,0.1%,0.2%,0.0%,1.8%
Maine,2014,$154.0M,$2.0M,$4.0M,$0.0M,$160.0M,"$3,149.0M","$2,697.0M","$2,178.0M",$64.0M,"$8,088.0M",4.9%,0.1%,0.2%,0.0%,2.0%
Maine,2015,$166.0M,$2.0M,$5.0M,$0.0M,$173.0M,"$3,165.0M","$2,421.0M","$2,028.0M",$115.0M,"$7,729.0M",5.2%,0.1%,0.2%,0.0%,2.2%
Maine,2016,$177.0M,$2.0M,$3.0M,$0.0M,$182.0M,"$3,271.0M","$2,536.0M","$2,131.0M",$101.0M,"$8,039.0M",5.4%,0.1%,0.1%,0.0%,2.3%
Maine,2017,$182.0M,$2.0M,$3.0M,$0.0M,$187.0M,"$3,346.0M","$2,601.0M","$2,186.0M",$113.6M,"$8,246.6M",5.4%,0.1%,0.1%,0.0%,2.3%
Maine,2018,$179.0M,$1.0M,$3.0M,$0.0M,$183.0M,"$3,415.0M","$2,698.0M","$2,192.4M",$105.6M,"$8,411.0M",5.2%,0.0%,0.1%,0.0%,2.2%
Maine,2019,$188.0M,$1.0M,$2.0M,$0.0M,$191.0M,"$3,658.0M","$2,797.0M","$2,209.2M",$148.0M,"$8,812.2M",5.1%,0.0%,0.1%,0.0%,2.2%
Maryland,1991,$312.0M,$0.0M,$24.0M,$53.6M,$389.6M,"$6,203.4M","$2,183.3M","$2,919.4M",$963.4M,"$12,269.5M",5.0%,0.0%,0.8%,5.6%,3.2%
Maryland,1992,$407.5M,$2.0M,$39.4M,$109.4M,$558.3M,"$6,233.4M","$2,301.7M","$2,757.7M",$551.8M,"$11,844.6M",6.5%,0.1%,1.4%,19.8%,4.7%
Maryland,1993,$511.8M,$6.1M,$33.3M,$31.5M,$582.7M,"$6,388.9M","$2,639.7M","$2,681.8M",$519.4M,"$12,229.8M",8.0%,0.2%,1.2%,6.1%,4.8%
Maryland,1994,$549.8M,$11.5M,$44.6M,$27.5M,$633.4M,"$6,606.6M","$2,792.5M","$2,964.3M",$409.5M,"$12,772.9M",8.3%,0.4%,1.5%,6.7%,5.0%
Maryland,1995,$586.3M,$16.4M,$51.4M,$60.1M,$714.2M,"$7,000.4M","$2,845.3M","$3,683.0M",$454.6M,"$13,983.3M",8.4%,0.6%,1.4%,13.2%,5.1%
Maryland,1996,$618.4M,$17.2M,$49.4M,$59.6M,$744.6M,"$7,388.2M","$2,942.6M","$3,837.9M",$390.0M,"$14,558.7M",8.4%,0.6%,1.3%,15.3%,5.1%
Maryland,1997,$652.6M,$16.3M,$45.2M,$30.0M,$744.1M,"$7,379.9M","$3,396.3M","$4,013.4M",$449.9M,"$15,239.5M",8.8%,0.5%,1.1%,6.7%,4.9%
Maryland,1998,$647.0M,$16.2M,$47.5M,$28.9M,$739.6M,"$7,859.2M","$3,449.9M","$4,236.6M",$420.0M,"$15,965.7M",8.2%,0.5%,1.1%,6.9%,4.6%
Maryland,1999,$648.0M,$16.1M,$47.7M,$70.6M,$782.4M,"$8,543.9M","$3,532.7M","$4,596.4M",$443.3M,"$17,116.3M",7.6%,0.5%,1.0%,15.9%,4.6%
Maryland,2000,$674.0M,$32.0M,$133.0M,$34.0M,$873.0M,"$9,031.0M","$3,780.0M","$5,055.0M",$449.0M,"$18,315.0M",7.5%,0.8%,2.6%,7.6%,4.8%
Maryland,2001,$878.0M,$24.0M,$103.0M,$0.0M,"$1,005.0M","$10,238.0M","$4,344.0M","$5,483.0M",$0.0M,"$20,065.0M",8.6%,0.6%,1.9%,,5.0%
Maryland,2002,$767.9M,$13.0M,$122.6M,$40.5M,$943.9M,"$10,572.0M","$4,838.0M","$6,033.0M","$1,078.0M","$22,521.0M",7.3%,0.3%,2.0%,3.8%,4.2%
Maryland,2003,$780.0M,$9.0M,$121.0M,$0.0M,$910.0M,"$7,176.0M","$4,366.0M","$3,428.9M",$77.1M,"$15,048.0M",10.9%,0.2%,3.5%,0.0%,6.0%
Maryland,2004,$861.0M,$25.0M,$53.0M,$88.0M,"$1,027.0M","$10,262.0M","$5,845.0M","$6,440.0M",$751.0M,"$23,298.0M",8.4%,0.4%,0.8%,11.7%,4.4%
Maryland,2005,$916.0M,$25.0M,$67.0M,$0.0M,"$1,008.0M","$11,275.0M","$5,878.0M","$6,892.0M",$236.0M,"$24,281.0M",8.1%,0.4%,1.0%,0.0%,4.2%
Maryland,2006,$967.0M,$22.0M,$110.0M,$23.0M,"$1,122.0M","$12,356.0M","$6,214.0M","$7,618.0M",$680.0M,"$26,868.0M",7.8%,0.4%,1.4%,3.4%,4.2%
Maryland,2007,"$1,169.0M",$20.0M,$114.0M,$0.0M,"$1,303.0M","$14,204.0M","$6,363.0M","$8,189.0M",$235.0M,"$28,991.0M",8.2%,0.3%,1.4%,0.0%,4.5%
Maryland,2008,"$1,194.0M",$11.2M,$75.0M,$51.0M,"$1,331.2M","$14,488.0M","$6,561.0M","$8,520.0M",$839.0M,"$30,408.0M",8.2%,0.2%,0.9%,6.1%,4.4%
Maryland,2009,"$1,314.5M",$27.3M,$165.9M,$34.9M,"$1,542.6M","$14,352.9M","$7,758.9M","$8,758.7M","$1,062.0M","$31,932.5M",9.2%,0.4%,1.9%,3.3%,4.8%
Maryland,2010,"$1,213.0M",$83.0M,$154.0M,$84.0M,"$1,534.0M","$13,442.3M","$9,825.0M","$8,765.8M","$1,126.0M","$33,159.1M",9.0%,0.8%,1.8%,7.5%,4.6%
Maryland,2011,"$1,208.0M",$103.0M,$139.0M,$0.0M,"$1,450.0M","$13,281.0M","$9,951.0M","$9,452.0M","$1,156.0M","$33,840.0M",9.1%,1.0%,1.5%,0.0%,4.3%
Maryland,2012,"$1,293.7M",$40.0M,$102.0M,$17.0M,"$1,452.7M","$14,951.0M","$9,058.0M","$9,906.0M",$957.0M,"$34,872.0M",8.7%,0.4%,1.0%,1.8%,4.2%
Maryland,2013,"$1,308.0M",$41.5M,$104.0M,$8.0M,"$1,461.5M","$15,127.0M","$9,184.0M","$10,809.0M","$1,167.0M","$36,287.0M",8.6%,0.5%,1.0%,0.7%,4.0%
Maryland,2014,"$1,347.0M",$35.0M,$85.0M,$30.0M,"$1,497.0M","$15,603.0M","$10,514.0M","$10,773.0M","$1,146.0M","$38,036.0M",8.6%,0.3%,0.8%,2.6%,3.9%
Maryland,2015,"$1,381.0M",$34.0M,$90.0M,$64.0M,"$1,569.0M","$15,902.0M","$11,916.9M","$10,925.0M","$1,247.0M","$39,990.9M",8.7%,0.3%,0.8%,5.1%,3.9%
Maryland,2016,"$1,412.0M",$33.0M,$85.0M,$36.0M,"$1,566.0M","$16,239.0M","$12,034.0M","$11,305.0M","$1,201.0M","$40,779.0M",8.7%,0.3%,0.8%,3.0%,3.8%
Maryland,2017,"$1,443.0M",$33.0M,$79.0M,$26.0M,"$1,581.0M","$17,153.0M","$12,018.0M","$13,015.0M","$1,136.0M","$43,322.0M",8.4%,0.3%,0.6%,2.3%,3.6%
Maryland,2018,"$1,394.0M",$34.0M,$73.0M,$9.0M,"$1,510.0M","$17,169.0M","$12,147.0M","$13,025.0M","$1,455.0M","$43,796.0M",8.1%,0.3%,0.6%,0.6%,3.4%
Maryland,2019,"$1,424.0M",$34.0M,$84.0M,$13.0M,"$1,555.0M","$17,911.0M","$13,166.0M","$13,812.0M","$1,346.0M","$46,235.0M",8.0%,0.3%,0.6%,1.0%,3.4%
Massachusetts,1991,$404.0M,$2.0M,$38.0M,$265.0M,$709.0M,"$11,147.0M","$3,043.0M",$938.0M,$980.0M,"$16,108.0M",3.6%,0.1%,4.1%,27.0%,4.4%
Massachusetts,1992,$270.3M,$0.0M,$0.0M,$6.5M,$276.8M,"$10,723.4M","$3,019.8M",$299.6M,$683.5M,"$14,726.3M",2.5%,0.0%,0.0%,1.0%,1.9%
Massachusetts,1993,$275.8M,$0.0M,$0.0M,$5.5M,$281.3M,"$11,646.2M","$4,076.7M",$376.5M,$649.1M,"$16,748.5M",2.4%,0.0%,0.0%,0.8%,1.7%
Massachusetts,1994,$280.5M,$0.0M,$0.0M,$4.5M,$285.0M,"$12,075.7M","$4,554.8M",$546.4M,$756.3M,"$17,933.2M",2.3%,0.0%,0.0%,0.6%,1.6%
Massachusetts,1995,$284.7M,$0.0M,$0.0M,$7.0M,$291.7M,"$13,280.8M","$4,285.6M",$545.2M,$902.0M,"$19,013.6M",2.1%,0.0%,0.0%,0.8%,1.5%
Massachusetts,1996,$311.3M,$0.0M,$0.0M,$6.2M,$317.5M,"$13,842.0M","$4,257.0M",$729.4M,$908.4M,"$19,736.8M",2.2%,0.0%,0.0%,0.7%,1.6%
Massachusetts,1997,$325.0M,$0.0M,$0.2M,$3.6M,$328.8M,"$15,133.5M","$5,260.9M",$938.7M,"$1,054.8M","$22,387.9M",2.1%,0.0%,0.0%,0.3%,1.5%
Massachusetts,1998,$642.4M,$0.0M,$0.2M,$4.0M,$646.6M,"$15,217.6M","$5,621.9M","$1,221.5M","$1,000.0M","$23,061.0M",4.2%,0.0%,0.0%,0.4%,2.8%
Massachusetts,1999,$711.9M,$1.3M,$11.4M,$37.2M,$761.8M,"$16,214.4M","$5,456.2M","$1,487.9M",$999.7M,"$24,158.2M",4.4%,0.0%,0.8%,3.7%,3.2%
Massachusetts,2000,$723.4M,$1.3M,$15.0M,$34.3M,$774.0M,"$18,656.5M","$5,916.8M","$2,409.7M",$990.4M,"$27,973.5M",3.9%,0.0%,0.6%,3.5%,2.8%
Massachusetts,2001,$529.0M,$2.0M,$12.0M,$21.0M,$564.0M,"$22,133.4M","$1,023.5M",$137.0M,"$2,679.0M","$25,972.9M",2.4%,0.2%,8.8%,0.8%,2.2%
Massachusetts,2002,$815.0M,$16.0M,$0.0M,$21.8M,$852.8M,"$19,869.0M","$4,112.0M",$511.0M,"$1,995.3M","$26,487.3M",4.1%,0.4%,0.0%,1.1%,3.2%
Massachusetts,2003,$821.0M,$16.0M,$0.0M,$65.0M,$902.0M,"$19,412.0M","$4,260.0M",$812.0M,"$1,579.0M","$26,063.0M",4.2%,0.4%,0.0%,4.1%,3.5%
Massachusetts,2004,$967.0M,$16.0M,$0.0M,$49.0M,"$1,032.0M","$18,311.0M","$4,710.0M","$1,126.0M",$717.0M,"$24,864.0M",5.3%,0.3%,0.0%,6.8%,4.2%
Massachusetts,2005,$992.0M,$1.0M,$1.0M,$0.0M,$994.0M,"$19,954.0M","$5,950.0M","$10,343.0M","$1,723.0M","$37,970.0M",5.0%,0.0%,0.0%,0.0%,2.6%
Massachusetts,2006,"$1,058.0M",$1.0M,$0.0M,$0.0M,"$1,059.0M","$25,601.0M","$2,466.0M","$9,430.0M","$1,682.0M","$39,179.0M",4.1%,0.0%,0.0%,0.0%,2.7%
Massachusetts,2007,"$1,127.0M",$0.4M,$0.8M,$0.0M,"$1,128.2M","$27,589.0M","$2,558.4M","$9,854.8M","$1,782.0M","$41,784.2M",4.1%,0.0%,0.0%,0.0%,2.7%
Massachusetts,2008,"$1,242.4M",$1.0M,$1.4M,$0.0M,"$1,244.8M","$28,933.5M","$2,525.3M","$10,928.1M","$1,419.5M","$43,806.4M",4.3%,0.0%,0.0%,0.0%,2.8%
Massachusetts,2009,"$1,235.2M",$0.8M,$0.8M,$0.0M,"$1,236.8M","$27,403.9M","$3,304.5M","$14,106.6M","$1,568.0M","$46,383.1M",4.5%,0.0%,0.0%,0.0%,2.7%
Massachusetts,2010,"$1,215.6M",$0.7M,$21.9M,$11.0M,"$1,249.2M","$21,874.4M","$12,480.7M","$15,088.0M","$1,835.0M","$51,278.1M",5.6%,0.0%,0.1%,0.6%,2.4%
Massachusetts,2011,"$1,201.0M",$2.0M,$3.0M,$21.0M,"$1,227.0M","$21,997.1M","$13,088.0M","$18,570.4M","$1,919.0M","$55,574.5M",5.5%,0.0%,0.0%,1.1%,2.2%
Massachusetts,2012,"$1,225.0M",$5.0M,$3.0M,$21.0M,"$1,254.0M","$25,825.5M","$16,157.0M","$13,302.5M","$1,827.0M","$57,112.0M",4.7%,0.0%,0.0%,1.1%,2.2%
Massachusetts,2013,"$1,267.9M",$1.3M,$3.2M,$0.0M,"$1,272.5M","$27,325.8M","$8,079.0M","$17,076.9M","$2,153.7M","$54,635.4M",4.6%,0.0%,0.0%,0.0%,2.3%
Massachusetts,2014,"$1,321.0M",$1.0M,$3.0M,$106.9M,"$1,431.9M","$28,594.0M","$7,926.0M","$16,800.0M","$3,009.6M","$56,329.6M",4.6%,0.0%,0.0%,3.6%,2.5%
Massachusetts,2015,"$1,368.0M",$1.0M,$5.0M,$0.0M,"$1,374.0M","$28,583.0M","$10,014.0M","$16,315.0M","$3,437.0M","$58,349.0M",4.8%,0.0%,0.0%,0.0%,2.4%
Massachusetts,2016,"$1,353.0M",$2.0M,$7.0M,$33.0M,"$1,395.0M","$27,625.0M","$12,462.0M","$12,285.0M","$2,298.0M","$54,670.0M",4.9%,0.0%,0.1%,1.4%,2.6%
Massachusetts,2017,"$1,362.0M",$27.0M,$6.0M,$55.0M,"$1,450.0M","$26,436.0M","$13,903.0M","$12,285.0M","$2,704.0M","$55,328.0M",5.2%,0.2%,0.0%,2.0%,2.6%
Massachusetts,2018,"$1,428.0M",$26.0M,$5.0M,$57.0M,"$1,516.0M","$27,196.0M","$14,432.0M","$12,803.0M","$2,694.0M","$57,125.0M",5.3%,0.2%,0.0%,2.1%,2.7%
Massachusetts,2019,"$1,493.0M",$34.0M,$5.0M,$48.0M,"$1,580.0M","$29,136.0M","$14,494.0M","$13,508.0M","$2,694.0M","$59,832.0M",5.1%,0.2%,0.0%,1.8%,2.6%
Michigan,1991,$786.0M,$2.2M,$20.0M,$0.0M,$808.2M,"$7,774.5M","$4,783.4M","$5,562.4M",$0.0M,"$18,120.3M",10.1%,0.0%,0.4%,,4.5%
Michigan,1992,$847.0M,$1.6M,$21.3M,$0.0M,$869.9M,"$7,405.5M","$5,332.4M","$6,961.8M",$8.0M,"$19,707.7M",11.4%,0.0%,0.3%,0.0%,4.4%
Michigan,1993,$975.0M,$1.0M,$25.0M,$0.0M,"$1,001.0M","$7,822.0M","$5,859.0M","$7,137.0M",$6.0M,"$20,824.0M",12.5%,0.0%,0.4%,0.0%,4.8%
Michigan,1994,"$1,047.0M",$2.0M,$25.0M,$0.0M,"$1,074.0M","$7,719.0M","$6,320.0M","$8,468.0M",$5.0M,"$22,512.0M",13.6%,0.0%,0.3%,0.0%,4.8%
Michigan,1995,"$1,220.0M",$6.0M,$26.0M,$0.0M,"$1,252.0M","$7,842.0M","$6,235.0M","$13,394.0M",$4.0M,"$27,475.0M",15.6%,0.1%,0.2%,0.0%,4.6%
Michigan,1996,"$1,291.0M",$8.0M,$37.0M,$0.0M,"$1,336.0M","$8,270.0M","$7,461.0M","$15,043.0M",$4.0M,"$30,778.0M",15.6%,0.1%,0.2%,0.0%,4.3%
Michigan,1997,"$1,334.0M",$34.0M,$77.0M,$0.0M,"$1,445.0M","$8,214.0M","$7,096.0M","$13,902.0M",$3.0M,"$29,215.0M",16.2%,0.5%,0.6%,0.0%,4.9%
Michigan,1998,"$1,305.8M",$12.4M,$87.0M,$35.9M,"$1,441.1M","$8,685.8M","$7,097.0M","$16,363.6M",$160.1M,"$32,306.5M",15.0%,0.2%,0.5%,22.4%,4.5%
Michigan,1999,"$1,407.8M",$30.4M,$92.8M,$86.3M,"$1,617.3M","$9,272.7M","$7,320.4M","$16,797.3M",$316.1M,"$33,706.5M",15.2%,0.4%,0.6%,27.3%,4.8%
Michigan,2000,"$1,591.9M",$62.5M,$88.1M,$122.3M,"$1,864.8M","$9,404.6M","$7,963.4M","$17,157.6M",$450.9M,"$34,976.5M",16.9%,0.8%,0.5%,27.1%,5.3%
Michigan,2001,"$1,758.3M",$59.8M,$81.9M,$49.0M,"$1,949.0M","$9,859.2M","$8,949.9M","$18,468.6M",$682.8M,"$37,960.5M",17.8%,0.7%,0.4%,7.2%,5.1%
Michigan,2002,"$1,752.0M",$60.0M,$82.4M,$17.3M,"$1,911.7M","$9,298.0M","$9,547.6M","$20,232.2M",$737.8M,"$39,815.6M",18.8%,0.6%,0.4%,2.3%,4.8%
Michigan,2003,"$1,796.6M",$90.5M,$71.1M,$4.5M,"$1,962.7M","$8,999.6M","$10,142.4M","$20,155.3M",$556.5M,"$39,853.8M",20.0%,0.9%,0.4%,0.8%,4.9%
